participantId,trialId,trialOrder,condition,responseId,state1,state2,truePercent,reportedPercent,rawError,log2Error,trialPair
19e76a68-b825-4cca-9cbc-eb361174081c,Delhi-Bihar-RGB,1.0,RGB,q-density-01,Delhi,Bihar,44,50,6,2.6147098441152083,Delhi vs Bihar
19e76a68-b825-4cca-9cbc-eb361174081c,Uttarakhand-Himachalpradesh-G,2.0,G,q-density-10,Uttarakhand,Himachal Pradesh,64,11,53,5.731319031025064,Uttarakhand vs Himachal Pradesh
19e76a68-b825-4cca-9cbc-eb361174081c,Uttarpradesh-Westbengal-R,3.0,R,q-density-02,West Bengal,Uttar Pradesh,13,29,16,4.011227255423254,West Bengal vs Uttar Pradesh
19e76a68-b825-4cca-9cbc-eb361174081c,Maharashtra-Gujarat-G,4.0,G,q-density-03,Maharashtra,Gujarat,12,0,12,3.599912842187128,Maharashtra vs Gujarat
19e76a68-b825-4cca-9cbc-eb361174081c,Tamilnadu-Karnataka-RGB,5.0,RGB,q-density-04,Tamil Nadu,Karnataka,59,29,30,4.912889336229962,Tamil Nadu vs Karnataka
19e76a68-b825-4cca-9cbc-eb361174081c,Kerala-Andhrapradesh-G,6.0,G,q-density-05,Kerala,Andhra Pradesh,100,69,31,4.960001932068081,Kerala vs Andhra Pradesh
19e76a68-b825-4cca-9cbc-eb361174081c,Rajasthan-Haryana-R,7.0,R,q-density-06,Haryana,Rajasthan,100,49,51,5.675957032941749,Haryana vs Rajasthan
19e76a68-b825-4cca-9cbc-eb361174081c,Assam-Odisha-RGB,8.0,RGB,q-density-07,Assam,Odisha,54,50,4,2.0443941193584534,Assam vs Odisha
19e76a68-b825-4cca-9cbc-eb361174081c,Punjab-Jharkhand-R,9.0,R,q-density-08,Punjab,Jharkhand,21,8,13,3.7142455176661224,Punjab vs Jharkhand
19e76a68-b825-4cca-9cbc-eb361174081c,Madhyapradesh-Chhattisgarh-R,10.0,R,q-density-09,Madhya Pradesh,Chhattisgarh,100,79,21,4.400879436282184,Madhya Pradesh vs Chhattisgarh
1ba10df2-f561-402a-8431-4341d40c80ad,Delhi-Bihar-RGB,1.0,RGB,q-density-01,Delhi,Bihar,44,33,11,3.4757334309663976,Delhi vs Bihar
1ba10df2-f561-402a-8431-4341d40c80ad,Uttarakhand-Himachalpradesh-G,2.0,G,q-density-10,Uttarakhand,Himachal Pradesh,64,15,49,5.618385502258606,Uttarakhand vs Himachal Pradesh
1ba10df2-f561-402a-8431-4341d40c80ad,Uttarpradesh-Westbengal-R,3.0,R,q-density-02,West Bengal,Uttar Pradesh,13,10,3,1.6438561897747246,West Bengal vs Uttar Pradesh
1ba10df2-f561-402a-8431-4341d40c80ad,Maharashtra-Gujarat-R,4.0,R,q-density-03,Maharashtra,Gujarat,12,5,7,2.8328900141647417,Maharashtra vs Gujarat
1ba10df2-f561-402a-8431-4341d40c80ad,Tamilnadu-Karnataka-G,5.0,G,q-density-04,Tamil Nadu,Karnataka,59,50,9,3.189824558880017,Tamil Nadu vs Karnataka
1ba10df2-f561-402a-8431-4341d40c80ad,Kerala-Andhrapradesh-RGB,6.0,RGB,q-density-05,Kerala,Andhra Pradesh,100,100,0,0.0,Kerala vs Andhra Pradesh
1ba10df2-f561-402a-8431-4341d40c80ad,Rajasthan-Haryana-R,7.0,R,q-density-06,Haryana,Rajasthan,100,100,0,0.0,Haryana vs Rajasthan
1ba10df2-f561-402a-8431-4341d40c80ad,Assam-Odisha-R,8.0,R,q-density-07,Assam,Odisha,54,67,13,3.7142455176661224,Assam vs Odisha
1ba10df2-f561-402a-8431-4341d40c80ad,Punjab-Jharkhand-R,9.0,R,q-density-08,Punjab,Jharkhand,21,0,21,4.400879436282184,Punjab vs Jharkhand
1ba10df2-f561-402a-8431-4341d40c80ad,Madhyapradesh-Chhattisgarh-G,10.0,G,q-density-09,Madhya Pradesh,Chhattisgarh,100,100,0,0.0,Madhya Pradesh vs Chhattisgarh
2cb64598-4a07-44d6-96fc-c16366066e40,Delhi-Bihar-G,1.0,G,q-density-01,Delhi,Bihar,44,50,6,2.6147098441152083,Delhi vs Bihar
2cb64598-4a07-44d6-96fc-c16366066e40,Uttarakhand-Himachalpradesh-R,2.0,R,q-density-10,Uttarakhand,Himachal Pradesh,64,45,19,4.257387842692652,Uttarakhand vs Himachal Pradesh
2cb64598-4a07-44d6-96fc-c16366066e40,Uttarpradesh-Westbengal-RGB,3.0,RGB,q-density-02,West Bengal,Uttar Pradesh,13,25,12,3.599912842187128,West Bengal vs Uttar Pradesh
2cb64598-4a07-44d6-96fc-c16366066e40,Maharashtra-Gujarat-R,4.0,R,q-density-03,Maharashtra,Gujarat,12,0,12,3.599912842187128,Maharashtra vs Gujarat
2cb64598-4a07-44d6-96fc-c16366066e40,Tamilnadu-Karnataka-R,5.0,R,q-density-04,Tamil Nadu,Karnataka,59,50,9,3.189824558880017,Tamil Nadu vs Karnataka
2cb64598-4a07-44d6-96fc-c16366066e40,Kerala-Andhrapradesh-RGB,6.0,RGB,q-density-05,Kerala,Andhra Pradesh,100,25,75,6.231221180711185,Kerala vs Andhra Pradesh
2cb64598-4a07-44d6-96fc-c16366066e40,Rajasthan-Haryana-RGB,7.0,RGB,q-density-06,Haryana,Rajasthan,100,16,84,6.394462694610317,Haryana vs Rajasthan
2cb64598-4a07-44d6-96fc-c16366066e40,Assam-Odisha-G,8.0,G,q-density-07,Assam,Odisha,54,15,39,5.290018846932618,Assam vs Odisha
2cb64598-4a07-44d6-96fc-c16366066e40,Punjab-Jharkhand-R,9.0,R,q-density-08,Punjab,Jharkhand,21,0,21,4.400879436282184,Punjab vs Jharkhand
2cb64598-4a07-44d6-96fc-c16366066e40,Madhyapradesh-Chhattisgarh-RGB,10.0,RGB,q-density-09,Madhya Pradesh,Chhattisgarh,100,46,54,5.7582232147267245,Madhya Pradesh vs Chhattisgarh
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Delhi-Bihar-RGB,1.0,RGB,q-density-01,Delhi,Bihar,44,52,8,3.0223678130284544,Delhi vs Bihar
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Uttarakhand-Himachalpradesh-G,2.0,G,q-density-10,Uttarakhand,Himachal Pradesh,64,63,1,0.16992500144231237,Uttarakhand vs Himachal Pradesh
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Uttarpradesh-Westbengal-G,3.0,G,q-density-02,West Bengal,Uttar Pradesh,13,76,63,5.980139577639157,West Bengal vs Uttar Pradesh
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Maharashtra-Gujarat-RGB,4.0,RGB,q-density-03,Maharashtra,Gujarat,12,61,49,5.618385502258606,Maharashtra vs Gujarat
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Tamilnadu-Karnataka-R,5.0,R,q-density-04,Tamil Nadu,Karnataka,59,69,10,3.3398500028846247,Tamil Nadu vs Karnataka
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Kerala-Andhrapradesh-G,6.0,G,q-density-05,Kerala,Andhra Pradesh,100,53,47,5.5584207132686645,Kerala vs Andhra Pradesh
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Rajasthan-Haryana-R,7.0,R,q-density-06,Haryana,Rajasthan,100,55,45,5.495855026887171,Haryana vs Rajasthan
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Assam-Odisha-G,8.0,G,q-density-07,Assam,Odisha,54,50,4,2.0443941193584534,Assam vs Odisha
312bb1f9-78b9-4fc7-b0c7-48f255951cc7,Punjab-Jharkhand-G,9.0,G,q-density-08,Punjab,Jharkhand,21,74,53,5.731319031025064,Punjab vs Jharkhand
