trialPair,condition,n_trials,mean_log2Error,median_log2Error,mean_rawError
Madhya Pradesh vs Chhattisgarh,G,5,0.0,0.0,0.0
Punjab vs Jharkhand,G,8,3.184739994663423,3.189824558880017,14.875
Tamil Nadu vs Karnataka,G,2,3.189824558880017,3.189824558880017,9.0
Delhi vs Bihar,G,5,3.4987844844811553,3.4757334309663976,13.0
Assam vs Odisha,G,6,3.6356092814569316,3.502198025713267,20.833333333333332
Maharashtra vs Gujarat,G,6,3.72281367082919,3.599912842187128,15.0
Kerala vs Andhra Pradesh,G,9,4.227244458306384,4.960001932068081,37.333333333333336
West Bengal vs Uttar Pradesh,G,6,4.312773691052684,4.6971141054078505,31.0
Uttarakhand vs Himachal Pradesh,G,10,4.676499743370895,5.446988462468356,37.6
Haryana vs Rajasthan,G,5,4.912757092799699,5.174925682500679,34.8
Madhya Pradesh vs Chhattisgarh,R,9,2.4520963980385617,3.3398500028846247,13.88888888888889
West Bengal vs Uttar Pradesh,R,6,2.4681942351784163,2.6921220611215393,7.666666666666667
Maharashtra vs Gujarat,R,5,2.4915971369974756,2.8328900141647417,7.0
Kerala vs Andhra Pradesh,R,3,3.4516058528452676,4.7073591320808825,25.333333333333332
Haryana vs Rajasthan,R,8,3.858093649992399,4.785772638367582,32.75
Delhi vs Bihar,R,3,3.87683659002643,4.098032082960526,19.333333333333332
Tamil Nadu vs Karnataka,R,6,3.9303873840470387,3.4077917169255114,18.666666666666668
Punjab vs Jharkhand,R,6,4.483435380468766,4.400879436282184,25.333333333333332
Assam vs Odisha,R,5,4.614817122891734,5.049848549450561,30.0
Uttarakhand vs Himachal Pradesh,R,5,5.422566343638048,5.647458426454921,45.8
Madhya Pradesh vs Chhattisgarh,RGB,3,3.1574895774642826,3.7142455176661224,22.333333333333332
Delhi vs Bihar,RGB,10,3.1848666532815932,3.106096185954236,11.4
West Bengal vs Uttar Pradesh,RGB,5,3.3115844956714255,3.599912842187128,15.6
Maharashtra vs Gujarat,RGB,6,3.3690495788357233,3.5378231365767627,15.5
Assam vs Odisha,RGB,6,3.8218686855694215,3.675538629153939,19.166666666666668
Punjab vs Jharkhand,RGB,3,3.870224177945241,4.257387842692652,15.666666666666666
Tamil Nadu vs Karnataka,RGB,9,4.235866769637812,4.400879436282184,22.88888888888889
Kerala vs Andhra Pradesh,RGB,5,4.4737304767887585,5.588714635582264,40.4
Uttarakhand vs Himachal Pradesh,RGB,2,5.505488018779374,5.505488018779374,46.5
Haryana vs Rajasthan,RGB,4,5.726609508058067,5.7310633940856945,55.75
