participantId,trialId,trialOrder,responseId,responsePrompt,answer
"012b6b3b-e841-4834-8878-f6b690ed9d6c","participantTags","null","participantTags","undefined","[]"
"0709a926-8f53-4393-a6a8-11cc54036d4b","participantTags","null","participantTags","undefined","[]"
"19e76a68-b825-4cca-9cbc-eb361174081c","participantTags","null","participantTags","undefined","[]"
"19e76a68-b825-4cca-9cbc-eb361174081c","introduction","0","","undefined","undefined"
"19e76a68-b825-4cca-9cbc-eb361174081c","introduction","0","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":26,""mousedown"":2,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Delhi-Bihar-RGB","1","q-density-01","How much more dense is the population in Delhi compared to Bihar?

(0% = no difference, 100% = twice as dense or more)","50"
"19e76a68-b825-4cca-9cbc-eb361174081c","Delhi-Bihar-RGB","1","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":130,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Uttarakhand-Himachalpradesh-G","2","q-density-10","How much more dense is the population in Uttarakhand compared to Himachal Pradesh?

(0% = no difference, 100% = twice as dense or more)","11"
"19e76a68-b825-4cca-9cbc-eb361174081c","Uttarakhand-Himachalpradesh-G","2","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":49,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Uttarpradesh-Westbengal-R","3","q-density-02","How much more dense is the population in West Bengal compared to Uttar Pradesh?

(0% = no difference, 100% = twice as dense or more)","29"
"19e76a68-b825-4cca-9cbc-eb361174081c","Uttarpradesh-Westbengal-R","3","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":26,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Maharashtra-Gujarat-G","4","q-density-03","How much more dense is the population in Maharashtra compared to Gujarat?

(0% = no difference, 100% = twice as dense or more)","0"
"19e76a68-b825-4cca-9cbc-eb361174081c","Maharashtra-Gujarat-G","4","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Tamilnadu-Karnataka-RGB","5","q-density-04","How much more dense is the population in Tamil Nadu compared to Karnataka?

(0% = no difference, 100% = twice as dense or more)","29"
"19e76a68-b825-4cca-9cbc-eb361174081c","Tamilnadu-Karnataka-RGB","5","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":49,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":7,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Kerala-Andhrapradesh-G","6","q-density-05","How much more dense is the population in Kerala compared to Andhra Pradesh?

(0% = no difference, 100% = twice as dense or more)","69"
"19e76a68-b825-4cca-9cbc-eb361174081c","Kerala-Andhrapradesh-G","6","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":2,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Rajasthan-Haryana-R","7","q-density-06","How much more dense is the population in Haryana compared to Rajasthan?

(0% = no difference, 100% = twice as dense or more)","49"
"19e76a68-b825-4cca-9cbc-eb361174081c","Rajasthan-Haryana-R","7","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":1,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Assam-Odisha-RGB","8","q-density-07","How much more dense is the population in Assam compared to Odisha?

(0% = no difference, 100% = twice as dense or more)","50"
"19e76a68-b825-4cca-9cbc-eb361174081c","Assam-Odisha-RGB","8","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":12,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":2,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Punjab-Jharkhand-R","9","q-density-08","How much more dense is the population in Punjab compared to Jharkhand?

(0% = no difference, 100% = twice as dense or more)","8"
"19e76a68-b825-4cca-9cbc-eb361174081c","Punjab-Jharkhand-R","9","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":21,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":1,""visibility"":0}"
"19e76a68-b825-4cca-9cbc-eb361174081c","Madhyapradesh-Chhattisgarh-R","10","q-density-09","How much more dense is the population in Madhya Pradesh compared to Chhattisgarh?

(0% = no difference, 100% = twice as dense or more)","79"
"19e76a68-b825-4cca-9cbc-eb361174081c","Madhyapradesh-Chhattisgarh-R","10","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":36,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":7,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","participantTags","null","participantTags","undefined","[]"
"1ba10df2-f561-402a-8431-4341d40c80ad","introduction","0","","undefined","undefined"
"1ba10df2-f561-402a-8431-4341d40c80ad","introduction","0","windowEvents","undefined","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":75,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":8}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Delhi-Bihar-RGB","1","q-density-01","How much more dense is the population in Delhi compared to Bihar?

(0% = no difference, 100% = twice as dense or more)","33"
"1ba10df2-f561-402a-8431-4341d40c80ad","Delhi-Bihar-RGB","1","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":77,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Uttarakhand-Himachalpradesh-G","2","q-density-10","How much more dense is the population in Uttarakhand compared to Himachal Pradesh?

(0% = no difference, 100% = twice as dense or more)","15"
"1ba10df2-f561-402a-8431-4341d40c80ad","Uttarakhand-Himachalpradesh-G","2","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":97,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":0,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Uttarpradesh-Westbengal-R","3","q-density-02","How much more dense is the population in West Bengal compared to Uttar Pradesh?

(0% = no difference, 100% = twice as dense or more)","10"
"1ba10df2-f561-402a-8431-4341d40c80ad","Uttarpradesh-Westbengal-R","3","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":4,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Maharashtra-Gujarat-R","4","q-density-03","How much more dense is the population in Maharashtra compared to Gujarat?

(0% = no difference, 100% = twice as dense or more)","5"
"1ba10df2-f561-402a-8431-4341d40c80ad","Maharashtra-Gujarat-R","4","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":17,""mousedown"":2,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Tamilnadu-Karnataka-G","5","q-density-04","How much more dense is the population in Tamil Nadu compared to Karnataka?

(0% = no difference, 100% = twice as dense or more)","50"
"1ba10df2-f561-402a-8431-4341d40c80ad","Tamilnadu-Karnataka-G","5","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":39,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":10,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Kerala-Andhrapradesh-RGB","6","q-density-05","How much more dense is the population in Kerala compared to Andhra Pradesh?

(0% = no difference, 100% = twice as dense or more)","100"
"1ba10df2-f561-402a-8431-4341d40c80ad","Kerala-Andhrapradesh-RGB","6","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":40,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":60,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Rajasthan-Haryana-R","7","q-density-06","How much more dense is the population in Haryana compared to Rajasthan?

(0% = no difference, 100% = twice as dense or more)","100"
"1ba10df2-f561-402a-8431-4341d40c80ad","Rajasthan-Haryana-R","7","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":21,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":1,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Assam-Odisha-R","8","q-density-07","How much more dense is the population in Assam compared to Odisha?

(0% = no difference, 100% = twice as dense or more)","67"
"1ba10df2-f561-402a-8431-4341d40c80ad","Assam-Odisha-R","8","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":69,""mousedown"":11,""mouseup"":10,""resize"":0,""scroll"":0,""visibility"":2}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Punjab-Jharkhand-R","9","q-density-08","How much more dense is the population in Punjab compared to Jharkhand?

(0% = no difference, 100% = twice as dense or more)","0"
"1ba10df2-f561-402a-8431-4341d40c80ad","Punjab-Jharkhand-R","9","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"1ba10df2-f561-402a-8431-4341d40c80ad","Madhyapradesh-Chhattisgarh-G","10","q-density-09","How much more dense is the population in Madhya Pradesh compared to Chhattisgarh?

(0% = no difference, 100% = twice as dense or more)","100"
"1ba10df2-f561-402a-8431-4341d40c80ad","Madhyapradesh-Chhattisgarh-G","10","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":19,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","participantTags","null","participantTags","undefined","[]"
"2cb64598-4a07-44d6-96fc-c16366066e40","introduction","0","","undefined","undefined"
"2cb64598-4a07-44d6-96fc-c16366066e40","introduction","0","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":69,""mousedown"":2,""mouseup"":1,""resize"":1,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Delhi-Bihar-G","1","q-density-01","How much more dense is the population in Delhi compared to Bihar?

(0% = no difference, 100% = twice as dense or more)","50"
"2cb64598-4a07-44d6-96fc-c16366066e40","Delhi-Bihar-G","1","windowEvents","undefined","{""focus"":6,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":179,""mousedown"":9,""mouseup"":9,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Uttarakhand-Himachalpradesh-R","2","q-density-10","How much more dense is the population in Uttarakhand compared to Himachal Pradesh?

(0% = no difference, 100% = twice as dense or more)","45"
"2cb64598-4a07-44d6-96fc-c16366066e40","Uttarakhand-Himachalpradesh-R","2","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":82,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Uttarpradesh-Westbengal-RGB","3","q-density-02","How much more dense is the population in West Bengal compared to Uttar Pradesh?

(0% = no difference, 100% = twice as dense or more)","25"
"2cb64598-4a07-44d6-96fc-c16366066e40","Uttarpradesh-Westbengal-RGB","3","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":32,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Maharashtra-Gujarat-R","4","q-density-03","How much more dense is the population in Maharashtra compared to Gujarat?

(0% = no difference, 100% = twice as dense or more)","0"
"2cb64598-4a07-44d6-96fc-c16366066e40","Maharashtra-Gujarat-R","4","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":41,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Tamilnadu-Karnataka-R","5","q-density-04","How much more dense is the population in Tamil Nadu compared to Karnataka?

(0% = no difference, 100% = twice as dense or more)","50"
"2cb64598-4a07-44d6-96fc-c16366066e40","Tamilnadu-Karnataka-R","5","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":3,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Kerala-Andhrapradesh-RGB","6","q-density-05","How much more dense is the population in Kerala compared to Andhra Pradesh?

(0% = no difference, 100% = twice as dense or more)","25"
"2cb64598-4a07-44d6-96fc-c16366066e40","Kerala-Andhrapradesh-RGB","6","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":34,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Rajasthan-Haryana-RGB","7","q-density-06","How much more dense is the population in Haryana compared to Rajasthan?

(0% = no difference, 100% = twice as dense or more)","16"
"2cb64598-4a07-44d6-96fc-c16366066e40","Rajasthan-Haryana-RGB","7","windowEvents","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":32,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Assam-Odisha-G","8","q-density-07","How much more dense is the population in Assam compared to Odisha?

(0% = no difference, 100% = twice as dense or more)","15"
"2cb64598-4a07-44d6-96fc-c16366066e40","Assam-Odisha-G","8","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":21,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Punjab-Jharkhand-R","9","q-density-08","How much more dense is the population in Punjab compared to Jharkhand?

(0% = no difference, 100% = twice as dense or more)","0"
"2cb64598-4a07-44d6-96fc-c16366066e40","Punjab-Jharkhand-R","9","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":15,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"2cb64598-4a07-44d6-96fc-c16366066e40","Madhyapradesh-Chhattisgarh-RGB","10","q-density-09","How much more dense is the population in Madhya Pradesh compared to Chhattisgarh?

(0% = no difference, 100% = twice as dense or more)","46"
"2cb64598-4a07-44d6-96fc-c16366066e40","Madhyapradesh-Chhattisgarh-RGB","10","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":54,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","participantTags","null","participantTags","undefined","[]"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","introduction","0","","undefined","undefined"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","introduction","0","windowEvents","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":1,""mousemove"":7,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Delhi-Bihar-RGB","1","q-density-01","How much more dense is the population in Delhi compared to Bihar?

(0% = no difference, 100% = twice as dense or more)","52"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Delhi-Bihar-RGB","1","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":12,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Uttarakhand-Himachalpradesh-G","2","q-density-10","How much more dense is the population in Uttarakhand compared to Himachal Pradesh?

(0% = no difference, 100% = twice as dense or more)","63"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Uttarakhand-Himachalpradesh-G","2","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Uttarpradesh-Westbengal-G","3","q-density-02","How much more dense is the population in West Bengal compared to Uttar Pradesh?

(0% = no difference, 100% = twice as dense or more)","76"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Uttarpradesh-Westbengal-G","3","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Maharashtra-Gujarat-RGB","4","q-density-03","How much more dense is the population in Maharashtra compared to Gujarat?

(0% = no difference, 100% = twice as dense or more)","61"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Maharashtra-Gujarat-RGB","4","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Tamilnadu-Karnataka-R","5","q-density-04","How much more dense is the population in Tamil Nadu compared to Karnataka?

(0% = no difference, 100% = twice as dense or more)","69"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Tamilnadu-Karnataka-R","5","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Kerala-Andhrapradesh-G","6","q-density-05","How much more dense is the population in Kerala compared to Andhra Pradesh?

(0% = no difference, 100% = twice as dense or more)","53"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Kerala-Andhrapradesh-G","6","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Rajasthan-Haryana-R","7","q-density-06","How much more dense is the population in Haryana compared to Rajasthan?

(0% = no difference, 100% = twice as dense or more)","55"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Rajasthan-Haryana-R","7","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Assam-Odisha-G","8","q-density-07","How much more dense is the population in Assam compared to Odisha?

(0% = no difference, 100% = twice as dense or more)","50"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Assam-Odisha-G","8","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":9,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Punjab-Jharkhand-G","9","q-density-08","How much more dense is the population in Punjab compared to Jharkhand?

(0% = no difference, 100% = twice as dense or more)","74"
"312bb1f9-78b9-4fc7-b0c7-48f255951cc7","Punjab-Jharkhand-G","9","windowEvents","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":4,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}"
